order_id,account_id,security_id,entered_by,side,order_type,ordered_qty,limit_px,tif,status,reject_reason,order_ts,last_update_ts
22,35,13,3,S,LMT,50,114.59,DAY,FILLED,,2026-08-26 11:42:47,2026-08-26 11:42:52
23,26,12,21,S,MKT,100,510.32,DAY,FILLED,,2026-08-27 14:22:03,2026-08-27 14:22:31
24,13,11,11,B,LMT,25,158.07,DAY,FILLED,,2026-08-20 10:50:36,2026-08-20 10:51:19
25,34,18,2,B,LMT,50,208.74,DAY,FILLED,,2026-08-21 15:11:07,2026-08-21 15:11:41
26,122,15,18,S,MKT,75,544.16,DAY,FILLED,,2026-08-24 13:37:06,2026-08-24 13:37:45
27,16,16,13,S,LMT,500,438.48,DAY,FILLED,,2026-08-25 12:43:06,2026-08-25 12:44:26
28,98,20,25,S,MKT,25,78.35,DAY,FILLED,,2026-08-27 11:29:32,2026-08-27 11:30:00
29,106,11,6,B,LMT,150,154.32,DAY,FILLED,,2026-08-26 12:26:46,2026-08-26 12:26:55
30,34,18,2,B,MKT,25,213.85,DAY,FILLED,,2026-08-17 13:35:35,2026-08-17 13:35:42
31,28,12,22,B,MKT,75,529.59,DAY,FILLED,,2026-08-27 11:07:48,2026-08-27 11:09:15
32,87,12,17,S,LMT,25,508.83,DAY,CXL,,2026-08-17 10:55:09,2026-08-17 10:55:58
33,95,10,23,B,LMT,10,269.32,DAY,FILLED,,2026-08-24 15:36:38,2026-08-24 15:38:03
34,30,12,24,S,LMT,100,505.82,DAY,REJ,RISK_LIMIT,2026-08-25 09:18:43,2026-08-25 09:19:11
35,36,9,3,S,MKT,200,95.11,DAY,FILLED,,2026-08-21 11:07:00,2026-08-21 11:07:46
36,112,1,10,S,LMT,200,192.39,DAY,FILLED,,2026-08-26 09:55:20,2026-08-26 09:55:42
37,23,14,19,S,LMT,25,154.03,DAY,FILLED,,2026-08-18 10:27:37,2026-08-18 10:27:47
38,131,7,25,B,MKT,75,193.28,DAY,FILLED,,2026-08-24 11:46:52,2026-08-24 11:47:02
39,119,19,16,B,LMT,150,90.07,DAY,FILLED,,2026-08-28 12:43:59,2026-08-28 12:45:15
40,80,15,11,B,LMT,25,534.6,DAY,FILLED,,2026-08-26 09:03:23,2026-08-26 09:04:23
41,116,4,13,B,LMT,10,182.2,DAY,FILLED,,2026-08-24 14:05:32,2026-08-24 14:06:19
42,105,11,5,B,MKT,25,153.42,DAY,FILLED,,2026-08-28 09:50:40,2026-08-28 09:51:58
43,80,13,11,B,MKT,200,112.96,DAY,FILLED,,2026-08-19 13:45:05,2026-08-19 13:46:33
44,131,12,25,B,LMT,150,533.97,DAY,FILLED,,2026-08-17 11:19:11,2026-08-17 11:19:49
45,135,2,3,S,LMT,50,411.49,DAY,FILLED,,2026-08-24 15:39:08,2026-08-24 15:40:05
46,121,7,17,S,LMT,100,201.3,DAY,FILLED,,2026-08-24 14:36:28,2026-08-24 14:37:46
47,124,12,19,B,LMT,100,507.02,DAY,FILLED,,2026-08-27 09:45:54,2026-08-27 09:46:06
48,7,14,7,B,MKT,200,159.6,DAY,CXL,,2026-08-17 12:32:23,2026-08-17 12:33:47
49,10,10,9,S,LMT,500,276.9,DAY,CXL,,2026-08-26 14:53:08,2026-08-26 14:54:19
50,29,10,23,B,LMT,200,277.29,DAY,FILLED,,2026-08-20 11:07:03,2026-08-20 11:08:20
51,75,14,8,S,MKT,50,156.53,DAY,FILLED,,2026-08-17 13:22:15,2026-08-17 13:23:25
52,142,1,8,S,MKT,150,187.19,DAY,FILLED,,2026-08-25 15:30:02,2026-08-25 15:31:27
53,86,5,16,B,MKT,500,905.39,DAY,FILLED,,2026-08-17 11:34:21,2026-08-17 11:35:20
54,52,2,15,S,LMT,100,408.32,DAY,FILLED,,2026-08-24 11:32:25,2026-08-24 11:33:49
55,99,11,1,B,LMT,100,157.8,DAY,FILLED,,2026-08-19 12:44:31,2026-08-19 12:45:41
56,115,20,13,B,LMT,500,74.89,DAY,FILLED,,2026-08-25 10:44:28,2026-08-25 10:45:50
57,113,2,11,B,LMT,150,417.05,DAY,FILLED,,2026-08-19 09:15:49,2026-08-19 09:16:37
58,81,9,12,B,MKT,500,97.1,DAY,FILLED,,2026-08-20 09:01:47,2026-08-20 09:02:45
59,116,6,13,B,LMT,150,516.41,DAY,FILLED,,2026-08-26 09:51:43,2026-08-26 09:53:13
60,131,8,25,B,MKT,500,437.21,DAY,FILLED,,2026-08-18 10:50:08,2026-08-18 10:50:25
61,135,14,3,B,MKT,150,156.32,DAY,FILLED,,2026-08-25 15:36:04,2026-08-25 15:37:26
62,111,17,10,B,MKT,100,200.88,DAY,FILLED,,2026-08-17 15:07:33,2026-08-17 15:08:10
63,71,5,5,B,MKT,50,862.64,DAY,FILLED,,2026-08-21 13:34:05,2026-08-21 13:34:11
64,107,20,7,B,LMT,100,76.92,DAY,FILLED,,2026-08-17 12:56:40,2026-08-17 12:58:09
65,89,13,18,B,LMT,150,110.26,DAY,FILLED,,2026-08-19 15:23:32,2026-08-19 15:24:10
66,64,6,24,B,LMT,50,509.95,DAY,FILLED,,2026-08-24 13:46:20,2026-08-24 13:46:32
67,56,19,18,S,LMT,500,90.82,DAY,FILLED,,2026-08-24 09:03:18,2026-08-24 09:04:05
68,14,19,12,B,MKT,25,91.37,DAY,FILLED,,2026-08-27 10:23:35,2026-08-27 10:25:03
69,101,12,2,B,MKT,75,523.2,DAY,FILLED,,2026-08-24 13:23:48,2026-08-24 13:24:31
70,156,17,18,B,MKT,50,203.68,DAY,FILLED,,2026-08-19 11:59:39,2026-08-19 12:00:45
71,95,11,23,B,LMT,500,152.82,DAY,FILLED,,2026-08-18 12:37:19,2026-08-18 12:37:26
72,38,8,5,B,MKT,10,448.41,DAY,FILLED,,2026-08-17 13:44:07,2026-08-17 13:45:26
73,36,17,3,S,LMT,200,202.71,DAY,FILLED,,2026-08-20 13:20:42,2026-08-20 13:22:09
74,157,16,19,B,MKT,75,461.92,DAY,FILLED,,2026-08-20 10:17:35,2026-08-20 10:18:38
75,75,2,8,S,MKT,100,426.23,DAY,FILLED,,2026-08-21 14:05:22,2026-08-21 14:06:52
76,151,8,15,B,LMT,75,437.92,DAY,FILLED,,2026-08-20 09:42:57,2026-08-20 09:42:58
77,105,16,5,B,LMT,150,444.21,DAY,FILLED,,2026-08-26 14:12:48,2026-08-26 14:13:57
78,45,14,10,S,LMT,50,159.06,DAY,FILLED,,2026-08-19 09:53:25,2026-08-19 09:54:04
79,29,11,23,B,LMT,50,150.48,DAY,FILLED,,2026-08-19 14:29:41,2026-08-19 14:30:04
80,110,17,9,B,LMT,50,210.92,DAY,REJ,RISK_LIMIT,2026-08-24 09:25:42,2026-08-24 09:26:13
81,115,9,13,B,LMT,100,97.89,DAY,FILLED,,2026-08-24 11:37:46,2026-08-24 11:38:07
82,95,20,23,B,LMT,500,78.14,DAY,FILLED,,2026-08-20 10:08:30,2026-08-20 10:09:39
83,135,15,3,B,LMT,10,540.46,DAY,FILLED,,2026-08-27 14:23:04,2026-08-27 14:23:46
84,117,5,14,B,LMT,500,889.12,DAY,CXL,,2026-08-27 12:29:36,2026-08-27 12:30:04
85,89,3,18,B,MKT,500,160.36,DAY,FILLED,,2026-08-27 09:59:57,2026-08-27 10:01:20
86,115,13,13,B,LMT,150,109.44,DAY,FILLED,,2026-08-25 09:43:42,2026-08-25 09:43:43
87,71,7,5,S,MKT,10,194.92,DAY,FILLED,,2026-08-18 09:51:42,2026-08-18 09:51:49
88,113,8,11,B,LMT,50,450.11,DAY,FILLED,,2026-08-27 10:48:55,2026-08-27 10:50:09
89,61,10,22,S,LMT,100,271.29,DAY,FILLED,,2026-08-19 14:33:14,2026-08-19 14:34:35
90,135,11,3,S,MKT,50,157.37,DAY,FILLED,,2026-08-25 12:09:19,2026-08-25 12:09:38
91,106,14,6,B,LMT,100,152.24,DAY,FILLED,,2026-08-27 13:08:24,2026-08-27 13:09:33
92,155,2,18,B,LMT,500,412.66,DAY,FILLED,,2026-08-18 10:51:48,2026-08-18 10:52:13
93,83,10,14,B,MKT,100,271.07,DAY,FILLED,,2026-08-25 12:34:41,2026-08-25 12:35:42
94,95,11,23,B,LMT,50,150.5,DAY,FILLED,,2026-08-25 09:36:55,2026-08-25 09:37:15
95,141,11,7,S,LMT,500,151.91,DAY,FILLED,,2026-08-21 15:52:31,2026-08-21 15:52:55
96,13,1,11,B,MKT,25,192.36,DAY,FILLED,,2026-08-25 10:53:40,2026-08-25 10:55:02
97,125,1,20,B,MKT,10,190.34,DAY,REJ,RISK_LIMIT,2026-08-17 13:35:26,2026-08-17 13:36:53
98,111,6,10,B,LMT,75,513.67,DAY,FILLED,,2026-08-18 09:33:09,2026-08-18 09:33:57
99,58,10,20,B,MKT,25,273.44,DAY,FILLED,,2026-08-18 14:54:41,2026-08-18 14:55:03
100,85,19,15,B,LMT,75,94.22,DAY,FILLED,,2026-08-18 13:58:02,2026-08-18 13:59:30
101,5,7,5,S,MKT,25,195.62,DAY,FILLED,,2026-08-28 10:48:52,2026-08-28 10:50:02
102,89,2,18,B,LMT,150,422.65,DAY,FILLED,,2026-08-18 12:14:53,2026-08-18 12:14:57
103,97,14,24,S,LMT,25,157.53,DAY,FILLED,,2026-08-19 14:37:42,2026-08-19 14:38:02
104,100,11,1,B,LMT,500,153.7,DAY,FILLED,,2026-08-24 09:05:00,2026-08-24 09:06:12
105,7,3,7,B,MKT,200,160.17,DAY,FILLED,,2026-08-24 13:05:38,2026-08-24 13:06:10
106,44,5,9,B,LMT,25,862.43,DAY,FILLED,,2026-08-21 11:17:31,2026-08-21 11:18:04
107,153,20,16,B,LMT,10,79.07,DAY,FILLED,,2026-08-20 12:06:08,2026-08-20 12:07:05
108,35,10,3,S,MKT,150,269.68,DAY,FILLED,,2026-08-24 13:44:12,2026-08-24 13:45:15
109,97,9,24,B,MKT,50,98.06,DAY,FILLED,,2026-08-25 11:07:59,2026-08-25 11:08:26
110,78,8,10,S,MKT,200,438.5,DAY,FILLED,,2026-08-21 14:09:45,2026-08-21 14:11:14
111,43,20,9,S,MKT,150,79.15,DAY,CXL,,2026-08-17 13:41:43,2026-08-17 13:42:50
112,57,15,19,B,LMT,150,545.83,DAY,FILLED,,2026-08-24 12:29:49,2026-08-24 12:30:04
113,88,15,17,S,MKT,25,528.03,DAY,FILLED,,2026-08-20 13:30:22,2026-08-20 13:30:37
114,133,6,1,S,LMT,500,501.79,DAY,FILLED,,2026-08-27 10:21:35,2026-08-27 10:22:26
115,116,19,13,B,MKT,75,90.78,DAY,FILLED,,2026-08-25 12:00:45,2026-08-25 12:01:09
116,136,11,3,B,LMT,150,153.62,DAY,FILLED,,2026-08-28 12:39:25,2026-08-28 12:40:44
117,81,4,12,B,LMT,50,185.12,DAY,FILLED,,2026-08-20 11:07:11,2026-08-20 11:08:14
118,143,6,9,B,LMT,500,513.65,DAY,FILLED,,2026-08-26 11:08:11,2026-08-26 11:09:01
119,43,3,9,B,MKT,100,160.37,DAY,FILLED,,2026-08-28 09:50:48,2026-08-28 09:51:52
120,30,9,24,B,LMT,500,97.27,DAY,FILLED,,2026-08-27 15:23:34,2026-08-27 15:24:13
121,110,6,9,B,MKT,10,512.14,DAY,FILLED,,2026-08-28 10:50:13,2026-08-28 10:50:51
122,25,5,20,B,MKT,50,866.78,DAY,FILLED,,2026-08-25 09:17:55,2026-08-25 09:18:46
123,20,3,16,B,MKT,500,169.46,DAY,CXL,,2026-08-25 13:47:17,2026-08-25 13:47:29
124,17,18,14,B,MKT,500,212.01,DAY,FILLED,,2026-08-25 10:27:52,2026-08-25 10:28:55
125,113,15,11,B,LMT,100,519.16,DAY,FILLED,,2026-08-17 12:12:44,2026-08-17 12:12:55
126,110,3,9,B,LMT,50,165.93,DAY,REJ,RISK_LIMIT,2026-08-18 09:13:30,2026-08-18 09:13:46
127,109,5,8,B,LMT,25,859.05,DAY,FILLED,,2026-08-26 09:14:24,2026-08-26 09:15:47
128,145,1,10,B,LMT,75,191.46,DAY,FILLED,,2026-08-28 14:10:28,2026-08-28 14:10:40
129,151,13,15,B,MKT,75,110.5,DAY,FILLED,,2026-08-24 12:20:50,2026-08-24 12:21:27
130,53,17,16,S,LMT,100,206.8,DAY,FILLED,,2026-08-28 13:12:47,2026-08-28 13:13:02
131,93,11,21,S,LMT,150,155.43,DAY,FILLED,,2026-08-19 12:55:53,2026-08-19 12:55:56
132,56,2,18,B,LMT,200,418.07,DAY,FILLED,,2026-08-17 15:25:32,2026-08-17 15:26:08
133,53,5,16,B,LMT,100,890.49,DAY,FILLED,,2026-08-27 11:25:37,2026-08-27 11:26:33
134,31,1,25,S,LMT,150,190.26,DAY,FILLED,,2026-08-19 14:00:10,2026-08-19 14:00:45
135,135,3,3,B,LMT,500,164.56,DAY,FILLED,,2026-08-21 14:36:40,2026-08-21 14:37:01
136,30,8,24,B,LMT,75,437.74,DAY,FILLED,,2026-08-27 09:02:54,2026-08-27 09:04:05
137,58,11,20,B,LMT,100,158.03,DAY,FILLED,,2026-08-20 12:58:46,2026-08-20 12:59:09
138,73,10,6,B,LMT,150,270.06,DAY,FILLED,,2026-08-24 09:35:29,2026-08-24 09:36:17
139,39,1,6,B,MKT,10,195.14,DAY,FILLED,,2026-08-25 09:14:34,2026-08-25 09:15:14
140,108,16,7,B,LMT,10,461.37,DAY,FILLED,,2026-08-17 10:45:17,2026-08-17 10:46:16
141,112,5,10,B,LMT,200,890.6,DAY,FILLED,,2026-08-20 11:16:54,2026-08-20 11:17:20
142,116,15,13,B,MKT,75,528.47,DAY,FILLED,,2026-08-24 12:07:34,2026-08-24 12:08:13
143,56,11,18,B,LMT,200,155.13,DAY,FILLED,,2026-08-19 09:45:15,2026-08-19 09:46:07
144,36,4,3,B,LMT,50,181.65,DAY,FILLED,,2026-08-17 09:53:49,2026-08-17 09:55:04
145,6,3,6,B,LMT,25,169.01,DAY,FILLED,,2026-08-20 14:28:51,2026-08-20 14:28:58
146,91,7,20,B,MKT,10,199.36,DAY,FILLED,,2026-08-19 11:17:28,2026-08-19 11:18:30
147,64,18,24,B,LMT,500,215.57,DAY,FILLED,,2026-08-17 12:50:45,2026-08-17 12:51:20
148,57,1,19,B,MKT,75,195.4,DAY,FILLED,,2026-08-21 09:51:30,2026-08-21 09:51:38
149,91,6,20,B,LMT,10,516.23,DAY,FILLED,,2026-08-19 10:37:20,2026-08-19 10:38:24
150,10,3,9,B,MKT,500,160.06,DAY,FILLED,,2026-08-17 10:38:14,2026-08-17 10:38:37
151,19,12,16,B,LMT,150,508.66,DAY,FILLED,,2026-08-25 13:06:21,2026-08-25 13:07:45
152,158,12,20,B,MKT,200,513.97,DAY,FILLED,,2026-08-20 14:37:52,2026-08-20 14:39:06
153,157,8,19,B,LMT,150,456.62,DAY,FILLED,,2026-08-28 09:59:31,2026-08-28 10:00:57
154,115,1,13,B,MKT,150,187.23,DAY,CXL,,2026-08-21 10:15:44,2026-08-21 10:16:38
155,97,12,24,S,LMT,75,509.47,DAY,FILLED,,2026-08-27 12:06:53,2026-08-27 12:07:27
156,97,6,24,B,LMT,500,516.26,DAY,FILLED,,2026-08-18 13:57:05,2026-08-18 13:57:26
157,49,14,13,B,LMT,100,153.12,DAY,FILLED,,2026-08-27 14:59:46,2026-08-27 15:00:06
158,23,10,19,B,LMT,75,269.57,DAY,FILLED,,2026-08-28 12:12:06,2026-08-28 12:12:57
159,24,18,19,S,LMT,150,210.96,DAY,FILLED,,2026-08-25 10:23:56,2026-08-25 10:25:09
160,22,12,18,B,LMT,10,530.63,DAY,FILLED,,2026-08-27 12:48:37,2026-08-27 12:49:51
161,147,20,12,B,MKT,50,79.18,DAY,FILLED,,2026-08-19 09:48:28,2026-08-19 09:49:24
162,142,11,8,B,LMT,200,151.4,DAY,FILLED,,2026-08-21 13:29:58,2026-08-21 13:30:12
163,138,12,5,S,MKT,500,505.57,DAY,FILLED,,2026-08-25 11:24:41,2026-08-25 11:25:33
164,61,2,22,B,MKT,150,428.0,DAY,FILLED,,2026-08-26 11:57:23,2026-08-26 11:58:51
165,35,10,3,B,LMT,200,276.73,DAY,FILLED,,2026-08-26 15:52:20,2026-08-26 15:53:23
166,15,17,13,S,LMT,50,208.45,DAY,FILLED,,2026-08-19 09:19:45,2026-08-19 09:19:53
167,93,7,21,S,LMT,25,200.15,DAY,FILLED,,2026-08-21 11:52:29,2026-08-21 11:53:45
168,67,3,2,B,LMT,75,168.54,DAY,FILLED,,2026-08-21 09:24:03,2026-08-21 09:25:09
169,154,1,17,B,LMT,100,189.13,DAY,FILLED,,2026-08-20 11:38:51,2026-08-20 11:39:30
170,102,19,3,B,MKT,100,90.89,DAY,FILLED,,2026-08-18 09:32:42,2026-08-18 09:33:24
171,49,5,13,B,LMT,200,888.48,DAY,FILLED,,2026-08-27 15:15:57,2026-08-27 15:16:31
172,49,11,13,S,LMT,150,155.07,DAY,FILLED,,2026-08-20 14:34:40,2026-08-20 14:35:18
173,57,12,19,S,LMT,150,516.0,DAY,FILLED,,2026-08-20 14:55:19,2026-08-20 14:56:41
174,129,4,23,B,LMT,50,180.97,DAY,FILLED,,2026-08-25 13:19:26,2026-08-25 13:19:45
175,21,16,17,B,LMT,10,448.71,DAY,FILLED,,2026-08-24 14:11:20,2026-08-24 14:12:23
176,110,13,9,B,MKT,75,113.55,DAY,FILLED,,2026-08-25 12:24:00,2026-08-25 12:24:25
177,17,2,14,B,LMT,200,429.78,DAY,FILLED,,2026-08-21 11:29:46,2026-08-21 11:30:11
178,10,13,9,B,LMT,10,113.09,DAY,CXL,,2026-08-21 15:34:39,2026-08-21 15:35:36
179,122,5,18,B,MKT,100,875.82,DAY,FILLED,,2026-08-20 14:43:40,2026-08-20 14:43:58
180,131,20,25,B,LMT,500,75.61,DAY,FILLED,,2026-08-18 11:07:50,2026-08-18 11:08:36
181,11,18,10,S,MKT,150,211.58,DAY,FILLED,,2026-08-26 10:44:59,2026-08-26 10:46:25
182,131,3,25,S,LMT,100,162.66,DAY,FILLED,,2026-08-18 11:41:14,2026-08-18 11:42:01
183,25,2,20,B,LMT,150,416.41,DAY,FILLED,,2026-08-17 15:08:42,2026-08-17 15:09:30
184,103,15,4,S,LMT,200,534.73,DAY,FILLED,,2026-08-21 15:24:44,2026-08-21 15:25:05
185,47,20,12,B,LMT,50,76.92,DAY,FILLED,,2026-08-25 15:22:39,2026-08-25 15:23:13
186,148,19,12,B,LMT,200,92.89,DAY,FILLED,,2026-08-20 14:55:21,2026-08-20 14:55:41
187,14,1,12,S,LMT,50,185.15,DAY,FILLED,,2026-08-19 13:54:30,2026-08-19 13:55:35
188,104,8,4,S,MKT,25,459.63,DAY,FILLED,,2026-08-18 12:28:51,2026-08-18 12:28:54
189,143,18,9,B,LMT,75,216.99,DAY,FILLED,,2026-08-17 15:05:50,2026-08-17 15:06:49
190,154,16,17,B,MKT,75,436.56,DAY,FILLED,,2026-08-24 14:28:07,2026-08-24 14:29:14
191,43,16,9,S,LMT,25,443.37,DAY,FILLED,,2026-08-19 15:45:47,2026-08-19 15:46:46
192,107,2,7,S,MKT,500,423.99,DAY,FILLED,,2026-08-28 09:49:57,2026-08-28 09:50:04
193,156,11,18,B,LMT,100,154.05,DAY,FILLED,,2026-08-27 12:26:38,2026-08-27 12:27:31
194,77,18,9,B,LMT,75,211.26,DAY,FILLED,,2026-08-24 14:47:59,2026-08-24 14:49:23
195,144,16,9,S,LMT,100,460.19,DAY,CXL,,2026-08-28 13:42:45,2026-08-28 13:43:04
196,69,6,3,B,MKT,100,500.94,DAY,FILLED,,2026-08-21 14:16:09,2026-08-21 14:17:36
197,144,13,9,B,LMT,10,114.87,DAY,FILLED,,2026-08-20 13:50:50,2026-08-20 13:52:01
198,52,20,15,B,MKT,75,78.28,DAY,FILLED,,2026-08-26 15:14:58,2026-08-26 15:15:08
199,2,11,3,B,MKT,50,158.99,DAY,FILLED,,2026-08-26 14:59:09,2026-08-26 14:59:48
200,135,8,3,B,MKT,200,451.16,DAY,FILLED,,2026-08-19 13:04:50,2026-08-19 13:05:33
201,159,17,21,B,MKT,25,207.08,DAY,FILLED,,2026-08-26 13:52:48,2026-08-26 13:53:20
202,98,4,25,B,LMT,10,189.57,DAY,FILLED,,2026-08-25 11:34:46,2026-08-25 11:35:49
203,137,1,4,B,MKT,200,193.83,DAY,FILLED,,2026-08-18 10:42:40,2026-08-18 10:43:36
204,40,1,6,B,LMT,25,184.92,DAY,FILLED,,2026-08-26 14:21:02,2026-08-26 14:21:36
205,31,18,25,B,MKT,10,217.59,DAY,FILLED,,2026-08-17 14:46:39,2026-08-17 14:47:18
206,98,13,25,B,MKT,50,113.66,DAY,FILLED,,2026-08-17 12:10:34,2026-08-17 12:10:53
207,37,4,4,S,LMT,25,182.83,DAY,FILLED,,2026-08-17 09:36:38,2026-08-17 09:38:01
208,50,4,14,B,LMT,500,186.61,DAY,FILLED,,2026-08-19 14:51:36,2026-08-19 14:52:51
209,33,8,1,B,LMT,150,449.62,DAY,FILLED,,2026-08-18 11:39:04,2026-08-18 11:40:17
210,110,6,9,B,LMT,200,503.17,DAY,FILLED,,2026-08-17 11:15:50,2026-08-17 11:16:50
211,125,18,20,B,MKT,100,219.63,DAY,FILLED,,2026-08-18 10:41:38,2026-08-18 10:41:48
212,130,1,24,B,LMT,10,190.59,DAY,FILLED,,2026-08-28 13:25:49,2026-08-28 13:26:36
213,75,5,8,S,MKT,150,880.11,DAY,FILLED,,2026-08-26 13:32:05,2026-08-26 13:33:33
214,145,5,10,S,LMT,75,856.92,DAY,FILLED,,2026-08-26 11:02:14,2026-08-26 11:03:04
215,11,11,10,B,MKT,100,155.73,DAY,FILLED,,2026-08-18 14:33:40,2026-08-18 14:35:04
216,89,16,18,B,LMT,500,440.97,DAY,FILLED,,2026-08-26 13:00:32,2026-08-26 13:00:53
217,59,14,21,S,LMT,500,152.31,DAY,FILLED,,2026-08-24 14:07:30,2026-08-24 14:07:47
218,132,2,25,B,MKT,50,420.42,DAY,FILLED,,2026-08-28 10:03:10,2026-08-28 10:04:35
219,115,20,13,B,MKT,200,77.47,DAY,FILLED,,2026-08-26 15:30:10,2026-08-26 15:31:16
220,59,13,21,B,MKT,200,114.19,DAY,FILLED,,2026-08-25 10:06:01,2026-08-25 10:06:06
221,155,18,18,S,LMT,200,213.33,DAY,FILLED,,2026-08-17 15:43:41,2026-08-17 15:44:30
222,26,14,21,B,MKT,25,152.98,DAY,FILLED,,2026-08-19 11:30:49,2026-08-19 11:30:50
223,93,4,21,B,MKT,100,188.94,DAY,FILLED,,2026-08-19 12:41:37,2026-08-19 12:42:28
224,143,16,9,S,LMT,100,463.19,DAY,FILLED,,2026-08-19 11:35:35,2026-08-19 11:37:00
225,55,17,18,B,LMT,50,203.64,DAY,FILLED,,2026-08-25 15:21:51,2026-08-25 15:23:08
226,10,13,9,B,LMT,10,115.0,DAY,FILLED,,2026-08-25 13:41:33,2026-08-25 13:42:58
227,93,8,21,S,MKT,150,454.58,DAY,REJ,RISK_LIMIT,2026-08-17 10:05:17,2026-08-17 10:05:26
228,24,18,19,B,LMT,150,220.98,DAY,FILLED,,2026-08-21 14:53:35,2026-08-21 14:54:49
229,130,4,24,B,MKT,25,188.36,DAY,FILLED,,2026-08-27 09:32:18,2026-08-27 09:32:51
230,8,16,7,B,MKT,75,458.1,DAY,FILLED,,2026-08-18 11:04:24,2026-08-18 11:04:58
231,88,3,17,B,LMT,75,168.9,DAY,FILLED,,2026-08-27 10:30:20,2026-08-27 10:31:24
232,68,7,2,B,LMT,50,201.31,DAY,FILLED,,2026-08-20 10:53:15,2026-08-20 10:54:34
233,11,16,10,B,MKT,500,441.44,DAY,FILLED,,2026-08-24 13:20:31,2026-08-24 13:20:48
234,129,12,23,B,LMT,500,534.87,DAY,FILLED,,2026-08-25 15:43:49,2026-08-25 15:45:16
235,48,18,12,B,LMT,150,210.92,DAY,FILLED,,2026-08-21 10:17:30,2026-08-21 10:18:22
236,34,19,2,B,MKT,75,92.31,DAY,FILLED,,2026-08-20 15:06:46,2026-08-20 15:07:06
237,77,9,9,S,MKT,25,98.11,DAY,FILLED,,2026-08-27 15:36:03,2026-08-27 15:36:16
238,93,12,21,B,LMT,150,505.02,DAY,FILLED,,2026-08-27 13:59:51,2026-08-27 14:01:05
239,45,10,10,S,LMT,500,281.43,DAY,FILLED,,2026-08-24 11:43:32,2026-08-24 11:43:54
240,108,20,7,B,LMT,25,75.44,DAY,FILLED,,2026-08-28 12:54:58,2026-08-28 12:56:16
241,93,19,21,B,MKT,10,89.93,DAY,FILLED,,2026-08-27 12:26:10,2026-08-27 12:26:21
242,25,3,20,S,LMT,25,161.08,DAY,FILLED,,2026-08-26 13:03:01,2026-08-26 13:03:41
243,135,6,3,B,LMT,500,509.0,DAY,FILLED,,2026-08-17 09:42:22,2026-08-17 09:43:52
244,80,12,11,B,MKT,500,514.01,DAY,REJ,RISK_LIMIT,2026-08-26 13:14:51,2026-08-26 13:15:09
245,89,10,18,S,LMT,500,271.69,DAY,FILLED,,2026-08-26 13:00:44,2026-08-26 13:01:55
246,100,13,1,B,LMT,100,110.55,DAY,FILLED,,2026-08-20 11:05:27,2026-08-20 11:05:51
247,126,7,21,B,LMT,50,203.61,DAY,FILLED,,2026-08-24 09:09:03,2026-08-24 09:09:33
